organizational_structure,English,organizational_structureID
Divisione IMI Corporate & Investment Banking,IMI Corporate & Investment Banking Division,10000017
Area di Governo Chief Financial Officer,Chief Financial Officer Governance Area,10000002
Area di Governo Chief Governance Officer,Governance Area Chief Governance Officer,10000003
Divisione Banca dei Territori,Banca dei Territori Division,10000016
"Area di Governo Chief IT, Digital and Innovation Officer","Governance Area Chief IT, Digital and Innovation Officer",10000004
Area di Governo Chief Compliance Officer,Chief Compliance Officer Governance Area,10000000
Area di Governo Chief Operating Officer,Chief Operating Officer Governance Area,10000007
Area di Governo Chief Cost Management Officer,Chief Cost Management Officer Governance Area,10000001
Area di Governo Chief Risk Officer,Chief Risk Officer Governance Area,10000008
Area di Governo Chief Lending Officer,Chief Lending Officer Governance Area,10000006
Chief Audit Officer,Chief Audit Officer,10000010
Divisione Insurance,Insurance Division,10000018
Comitati manageriali del Gruppo Intesa Sanpaolo,Management committees of the Intesa Sanpaolo Group,10000011
Consiglio di Amministrazione,Board of Directors,10000013
Divisione International Subsidiary Banks,International Subsidiary Banks Division,10000019
Area di Governo Chief Institutional Affairs and External Communication Officer,Governance Area Chief Institutional Affairs and External Communication Officer,10000005
Divisione Private Banking,Private Banking Division,10000020
Divisione Asset Management,Asset Management Division,10000015
Direzione Centrale Strategic Support,Central Strategic Support Department,10000014
Consigliere Delegato e CEO,Managing Director and CEO,10000012
Strutture e Figure Professionali obsolete,Outdated Structures and Professional Figures,10000022
Mediocredito Italiano,Italian Mediocredito,10000021
Banca IMI,IMI Bank,10000009
Not specified,Not specified,10000023
